# IPv4 signatures file (unwanted cloud services and non-human endpoints).
# Canonical link to the online version of this file: https://github.com/CIDRAM/CIDRAM/blob/master/vault/ipv4.dat


# ---
# ASN 46844 ("Sharktech").
# %Listed, Google Malware Dashboard: 37.21%.
# %Listed, CleanTalk.org: 32.62%.
# Stop Forum Spam (SFS) listings: 897.
# Updated: 2017.10.29

# Stop Forum Spam (SFS) listings: 159 (AS133731), 67 (AS134121).
# Updated: 2017.07.12

14.1.96.0/22 Deny Cloud
43.224.248.0/23 Deny Cloud
43.225.44.0/22 Deny Cloud
43.240.12.0/22 Deny Cloud
43.242.130.0/24 Deny Cloud
43.243.171.0/24 Deny Cloud
43.247.68.0/22 Deny Cloud
43.251.16.0/23 Deny Cloud
43.252.228.0/22 Deny Cloud
43.254.216.0/22 Deny Cloud
43.255.228.0/22 Deny Cloud
45.64.74.0/23 Deny Cloud
45.64.112.0/23 Deny Cloud
45.114.8.0/22 Deny Cloud
45.116.76.0/22 Deny Cloud
45.120.158.0/24 Deny Cloud
45.124.24.0/22 Deny Cloud
45.125.12.0/22 Deny Cloud
45.125.16.0/22 Deny Cloud
45.125.32.0/22 Deny Cloud
45.127.96.0/22 Deny Cloud
45.252.60.0/22 Deny Cloud
103.12.76.0/22 Deny Cloud
103.21.136.0/22 Deny Cloud
103.24.0.0/22 Deny Cloud
103.30.40.0/22 Deny Cloud
103.39.108.0/22 Deny Cloud
103.43.216.0/22 Deny Cloud
103.44.28.0/22 Deny Cloud
103.51.144.0/22 Deny Cloud
103.55.24.0/22 Deny Cloud
103.56.112.0/22 Deny Cloud
103.56.185.0/24 Deny Cloud
103.66.56.0/22 Deny Cloud
103.66.216.0/22 Deny Cloud
103.67.252.0/22 Deny Cloud
103.76.84.0/22 Deny Cloud
103.85.20.0/22 Deny Cloud
103.193.148.0/22 Deny Cloud
103.195.148.0/22 Deny Cloud
103.197.24.0/22 Deny Cloud
103.200.28.0/22 Deny Cloud
103.212.32.0/22 Deny Cloud
103.213.248.0/22 Deny Cloud
103.215.80.0/22 Deny Cloud
103.224.80.0/22 Deny Cloud
103.226.124.0/22 Deny Cloud
103.228.168.0/22 Deny Cloud
103.229.116.0/22 Deny Cloud
103.229.124.0/22 Deny Cloud
103.231.12.0/22 Deny Cloud
103.238.224.0/22 Deny Cloud
103.239.204.0/22 Deny Cloud
103.240.180.0/22 Deny Cloud
103.240.200.0/22 Deny Cloud
103.241.48.0/22 Deny Cloud
103.242.0.0/22 Deny Cloud
103.242.132.0/22 Deny Cloud
103.243.24.0/22 Deny Cloud
103.243.128.0/22 Deny Cloud
103.244.88.0/22 Deny Cloud
103.246.244.0/22 Deny Cloud
103.251.88.0/22 Deny Cloud
103.255.56.0/22 Deny Cloud
116.206.92.0/22 Deny Cloud
